timestamp,bearing 1,bearing 2,bearing 3,bearing 4
2004-02-12T10:32:39Z,0.058333,0.071832,0.083244,0.043066
2004-02-12T10:42:39Z,0.058997,0.074008,0.084439,0.044541
2004-02-12T10:52:39Z,0.06024,0.074224,0.083922,0.044443
2004-02-12T11:02:39Z,0.061454,0.073843,0.084462,0.045082
2004-02-12T11:12:39Z,0.061361,0.075607,0.082837,0.045119
2004-02-12T11:22:39Z,0.061669,0.073281,0.084886,0.044172
2004-02-12T11:32:39Z,0.061944,0.074593,0.082623,0.044659
2004-02-12T11:42:39Z,0.061232,0.074171,0.082021,0.043841
2004-02-12T11:52:39Z,0.062282,0.075808,0.084373,0.044275
2004-02-12T12:02:39Z,0.059893,0.075117,0.084504,0.043973
2004-02-12T12:12:39Z,0.06237,0.075507,0.082237,0.044171
2004-02-12T12:22:39Z,0.060838,0.074649,0.080554,0.043606
2004-02-12T12:32:39Z,0.061092,0.07483,0.080786,0.043524
2004-02-12T12:42:39Z,0.062604,0.075492,0.080622,0.044679
2004-02-12T12:52:39Z,0.062342,0.075604,0.080395,0.044248
2004-02-12T13:02:39Z,0.061631,0.075282,0.081002,0.044688
2004-02-12T13:12:39Z,0.061884,0.075994,0.083308,0.044553
2004-02-12T13:22:39Z,0.061245,0.074035,0.080163,0.043483
2004-02-12T13:32:39Z,0.061475,0.075331,0.081759,0.044157
2004-02-12T13:42:39Z,0.061843,0.075818,0.081509,0.043555
2004-02-12T13:52:39Z,0.062212,0.075919,0.080892,0.043927
2004-02-12T14:02:39Z,0.062624,0.076409,0.082298,0.043765
2004-02-12T14:12:39Z,0.062513,0.074906,0.08181,0.043431
2004-02-12T14:22:39Z,0.062604,0.076511,0.081138,0.045043
2004-02-12T14:32:39Z,0.062448,0.076648,0.083573,0.044518
2004-02-12T14:42:39Z,0.061329,0.075148,0.082571,0.044145
2004-02-12T14:52:39Z,0.06145,0.076666,0.080874,0.043867
2004-02-12T15:02:39Z,0.061289,0.075562,0.082175,0.04418
2004-02-12T15:12:39Z,0.061904,0.075154,0.082514,0.043845
2004-02-12T15:22:39Z,0.06189,0.075881,0.080265,0.043737
2004-02-12T15:32:39Z,0.061727,0.075647,0.081357,0.043281
2004-02-12T15:42:39Z,0.063208,0.075515,0.08135,0.045093
2004-02-12T15:52:39Z,0.060692,0.076115,0.08007,0.044031
2004-02-12T16:02:39Z,0.062274,0.076441,0.082005,0.044523
2004-02-12T16:12:39Z,0.061526,0.077322,0.083417,0.044208
2004-02-12T16:22:39Z,0.061506,0.07581,0.079354,0.044174
2004-02-12T16:32:39Z,0.060629,0.076186,0.08224,0.044369
2004-02-12T16:42:39Z,0.062686,0.076528,0.081331,0.04479
2004-02-12T16:52:39Z,0.061219,0.075748,0.082367,0.044383
